서울,양천구,사망자수,11,0,1,1,0,1,1,1,0,1,1,3,1
서울,양천구,부상자수,"1,939",179,140,171,141,201,180,166,176,112,181,141,151
서울,중랑구,사고건수,"1,565",125,125,116,121,151,130,144,112,124,154,139,124
서울,중랑구,사망자수,10,1,1,3,0,1,0,0,2,0,0,2,0
서울,중랑구,부상자수,"2,135",183,169,140,159,213,180,188,153,183,227,182,158
서울,노원구,사고건수,"1,569",132,125,125,141,142,126,115,111,140,128,130,154
서울,노원구,사망자수,14,2,1,1,1,0,4,2,1,0,1,1,0
서울,노원구,부상자수,"2,227",176,164,217,180,193,155,178,169,218,179,172,226
서울,광진구,사고건수,"1,108",90,84,73,100,101,109,95,101,82,92,111,70
서울,광진구,사망자수,10,1,0,1,0,0,0,3,1,0,0,1,3
서울,광진구,부상자수,"1,474",119,111,101,126,134,140,130,136,107,135,148,87
서울,강북구,사고건수,"1,216",102,103,96,99,125,93,89,102,104,107,97,99
서울,강북구,사망자수,13,0,2,1,1,0,1,3,1,0,2,1,1
서울,강북구,부상자수,"1,633",160,139,135,136,158,118,133,136,129,128,123,138
서울,금천구,사고건수,932,75,70,88,93,89,60,84,70,72,81,80,70
서울,금천구,사망자수,6,1,0,0,1,0,0,2,0,0,0,2,0
서울,금천구,부상자수,"1,326",118,104,124,114,123,80,106,103,106,110,146,92
부산,합계,사고건수,"11,937",965,859,"1,019",963,"1,016",969,"1,030","1,021","1,007","1,029","1,039","1,020"
부산,합계,사망자수,123,10,9,15,12,11,6,14,9,13,13,4,7
부산,합계,부상자수,"16,468","1,325","1,215","1,425","1,317","1,456","1,297","1,487","1,354","1,428","1,369","1,422","1,373"
부산,중구,사고건수,393,29,23,23,31,45,38,37,29,37,35,23,43
부산,중구,사망자수,3,0,0,0,1,0,0,0,0,1,1,0,0
부산,중구,부상자수,523,38,27,25,45,59,42,61,48,50,41,34,53
부산,서구,사고건수,452,41,35,40,37,31,47,43,22,28,40,51,37
부산,서구,사망자수,6,1,0,1,0,1,0,0,0,1,2,0,0
